OCPID,Strain,SampleID,DateRecorded,ReportType,ChemicalLab,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol,GeneticLab,Sample,SampleURL,Organism,OrganismURL,Project,ProjectURL,Study,StudyURL,Run,RunURL,DatePublished,Spots,Bases,Size,Notes
000840,Blue Dream,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937800,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937800"" target=""_blank"">SAMN05937800</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448347,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448347"" target=""_blank""><small>SRR4448347</small></a>",2016-10-25,521006,78600372,27.3 MB,
000841,Durban Poison,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937801,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937801"" target=""_blank"">SAMN05937801</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448348,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448348"" target=""_blank""><small>SRR4448348</small></a>",2016-10-25,588036,88796689,30.6 MB,
000842,#23,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937802,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937802"" target=""_blank"">SAMN05937802</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448349,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448349"" target=""_blank""><small>SRR4448349</small></a>",2016-10-25,1412416,213102475,78.6 MB,
000843,Tyra Banks Conspiracy Kush #5,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937795,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937795"" target=""_blank"">SAMN05937795</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448350,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448350"" target=""_blank""><small>SRR4448350</small></a>",2016-10-25,2119040,319765009,109.1 MB,
000844,S.T.U ACDC,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937796,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937796"" target=""_blank"">SAMN05937796</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448351,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448351"" target=""_blank""><small>SRR4448351</small></a>",2016-10-25,1548672,233830454,85.0 MB,
000845,Crystal Goddess,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937797,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937797"" target=""_blank"">SAMN05937797</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448352,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448352"" target=""_blank""><small>SRR4448352</small></a>",2016-10-25,1112889,167908423,57.4 MB,
000846,UW/Purple Kush,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937798,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937798"" target=""_blank"">SAMN05937798</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448353,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448353"" target=""_blank""><small>SRR4448353</small></a>",2016-10-25,788076,118965437,41.3 MB,
000847,White Russian,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937847,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937847"" target=""_blank"">SAMN05937847</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448354,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448354"" target=""_blank""><small>SRR4448354</small></a>",2016-10-25,803896,121345585,42.2 MB,
000848,UKAW 1,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937848,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937848"" target=""_blank"">SAMN05937848</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448355,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448355"" target=""_blank""><small>SRR4448355</small></a>",2016-10-25,819063,123660632,42.8 MB,
000849,Ice wreck,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937845,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937845"" target=""_blank"">SAMN05937845</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448356,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448356"" target=""_blank""><small>SRR4448356</small></a>",2016-10-25,1457294,220013633,76.1 MB,
000850,God's Gift,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937846,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937846"" target=""_blank"">SAMN05937846</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448357,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448357"" target=""_blank""><small>SRR4448357</small></a>",2016-10-25,3952782,596207677,271.4 MB,
000851,Banana Kush,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937851,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937851"" target=""_blank"">SAMN05937851</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448358,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448358"" target=""_blank""><small>SRR4448358</small></a>",2016-10-25,670759,101271888,34.8 MB,
000852,Vortex,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937852,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937852"" target=""_blank"">SAMN05937852</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448359,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448359"" target=""_blank""><small>SRR4448359</small></a>",2016-10-25,340510,51373175,17.6 MB,
000853,Tangerine Tahoe,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937849,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937849"" target=""_blank"">SAMN05937849</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448360,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448360"" target=""_blank""><small>SRR4448360</small></a>",2016-10-25,1475191,222721964,80.0 MB,
000854,Platinum OG Cookies,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937850,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937850"" target=""_blank"">SAMN05937850</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448361,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448361"" target=""_blank""><small>SRR4448361</small></a>",2016-10-25,3053544,461091248,209.3 MB,
000855,AC/DC,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937853,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937853"" target=""_blank"">SAMN05937853</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448362,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448362"" target=""_blank""><small>SRR4448362</small></a>",2016-10-25,617251,93183076,31.6 MB,
000856,Kandy Kush,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937854,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937854"" target=""_blank"">SAMN05937854</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448363,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448363"" target=""_blank""><small>SRR4448363</small></a>",2016-10-25,1570200,236974621,81.1 MB,
000857,UW,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937864,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937864"" target=""_blank"">SAMN05937864</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448364,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448364"" target=""_blank""><small>SRR4448364</small></a>",2016-10-25,1176905,177640220,61.0 MB,
000858,Double Dream,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937863,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937863"" target=""_blank"">SAMN05937863</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448365,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448365"" target=""_blank""><small>SRR4448365</small></a>",2016-10-25,699587,105612560,36.3 MB,
000859,Cherry Pie,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937862,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937862"" target=""_blank"">SAMN05937862</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448366,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448366"" target=""_blank""><small>SRR4448366</small></a>",2016-10-25,1315432,198598814,72.2 MB,
000860,Grand Master Cheese,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937861,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937861"" target=""_blank"">SAMN05937861</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448367,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448367"" target=""_blank""><small>SRR4448367</small></a>",2016-10-25,1642247,247929841,86.3 MB,
000861,Crunchberry,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937860,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937860"" target=""_blank"">SAMN05937860</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448368,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448368"" target=""_blank""><small>SRR4448368</small></a>",2016-10-25,549001,82870787,28.9 MB,
000862,Jack Herer,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937859,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937859"" target=""_blank"">SAMN05937859</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448369,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448369"" target=""_blank""><small>SRR4448369</small></a>",2016-10-25,1347961,203269935,70.1 MB,
000863,Kandy Land,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937858,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937858"" target=""_blank"">SAMN05937858</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448370,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448370"" target=""_blank""><small>SRR4448370</small></a>",2016-10-25,1084162,163702631,55.0 MB,
000864,Bubba GDP,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937857,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937857"" target=""_blank"">SAMN05937857</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448371,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448371"" target=""_blank""><small>SRR4448371</small></a>",2016-10-25,1134428,171292845,58.9 MB,
000865,Lambsbread,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937856,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937856"" target=""_blank"">SAMN05937856</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448372,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448372"" target=""_blank""><small>SRR4448372</small></a>",2016-10-25,1044768,157601748,53.4 MB,
000866,Old Jack,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937855,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937855"" target=""_blank"">SAMN05937855</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448373,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448373"" target=""_blank""><small>SRR4448373</small></a>",2016-10-25,1105232,166845033,59.8 MB,
000867,Sunshine daydream,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937873,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937873"" target=""_blank"">SAMN05937873</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448374,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448374"" target=""_blank""><small>SRR4448374</small></a>",2016-10-25,706003,106540104,36.5 MB,
000868,Super Silver Haze,,12 May 2018,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phylos Bioscience,SAMN05937874,"<a href=""https://www.ncbi.nlm.nih.gov/sra?term=SAMN05937874"" target=""_blank"">SAMN05937874</a>",Cannabis sativa,"<a href=""https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&amp;id=3483"" target=""_blank"">Cannabis sativa</a>",PRJNA347566,"<a href=""https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347566"" target=""_blank""><small>PRJNA347566</small></a>",SRP092005,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra?study=SRP092005"" target=""_blank""><small>SRP092005</small></a>",SRR4448375,"<a href=""https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR4448375"" target=""_blank""><small>SRR4448375</small></a>",2016-10-25,671929,101448675,36.9 MB,
